Developer / Researcher,Treatment vs. Vaccine,Product Category,Stage of Development,Anticipated Next Steps,Product Description,Clinical Trials for COVID-19,Funder,Published Results,Clinical Trials for Other Diseases (T only) / Related Use or Platform (V only),FDA-Approved Indications,Sources,Date Last Updated
"Globe Biotech Limited, Bangladesh",Vaccine,DNA-based,Pre-clinical,Unknown,DNA plasmid vaccine,,Unknown,,,N/A,https://docs.google.com/document/d/1Y4nCJJ4njzD1wiHbufCY6gqfRmj49Qn_qNgOJD62Wik/edit,11/9/2020
Immunomic Therapeutics/ EpiVax/ PharmaJet,Vaccine,DNA-based,Pre-clinical,Unknown,"DNA; plasmid vaccine, needle-free delivery",,Unknown,,Same platform as vaccine candidates for SARS,N/A,https://docs.google.com/document/d/1Y4nCJJ4njzD1wiHbufCY6gqfRmj49Qn_qNgOJD62Wik/edit,Prior to 4/20/2020
Mediphage Bioceuticals/ University of Waterloo/ Lambton College,Vaccine,DNA-based,Pre-clinical,Unknown,DNA; msDNA-VLP,,Unknown,,,N/A,https://docs.google.com/document/d/1Y4nCJJ4njzD1wiHbufCY6gqfRmj49Qn_qNgOJD62Wik/edit,9/23/2020
"National
  Research Centre, Egypt",Vaccine,DNA-based,Pre-clinical,Unknown,"DNA; plasmid vaccine S, S1, S2, RBD & N",,Unknown,,,N/A,https://docs.google.com/document/d/1Y4nCJJ4njzD1wiHbufCY6gqfRmj49Qn_qNgOJD62Wik/edit,6/30/2020
"National Institute of Chemistry, Slovenia",Vaccine,DNA-based,Pre-clinical,Unknown,"Plasmid DNA, nanostructured RBD",,Unknown,,,N/A,https://docs.google.com/document/d/1Y4nCJJ4njzD1wiHbufCY6gqfRmj49Qn_qNgOJD62Wik/edit,11/9/2020
OncoSec Medical Incorporated / Providence Cancer Institute ,Vaccine,DNA-based,Pre-clinical,Phase I expected to begin December 2020,"(CORVax12), IL-12 expression platform + “S” glycoprotein ",NCT04627675,Unknown,,,N/A,https://docs.google.com/document/d/1Y4nCJJ4njzD1wiHbufCY6gqfRmj49Qn_qNgOJD62Wik/edit,11/18/2020
OPENCORONA Project: Karolinska Institute/ Justus Liebig University Giessen/ Public Health Agency of Sweden (FoHM)/ IGEA/ Cobra Biologics/ Adlego Biomedical/ Region Stockholm,Vaccine,DNA-based,Pre-clinical,Phase I expected to begin in 2020,DNA with electroporation,,European Commission (Horizon 2020 Program),,,N/A,https://docs.google.com/document/d/1Y4nCJJ4njzD1wiHbufCY6gqfRmj49Qn_qNgOJD62Wik/edit,9/23/2020
Scancell/ University of Nottingham/ Nottingham Trent University,Vaccine,DNA-based,Pre-clinical,Phase I COVIDITY clinical trial expected to start as soon as possible during 2021,DNA; plasmid vaccine RBD&N,,Unknown,,,N/A,https://docs.google.com/document/d/1Y4nCJJ4njzD1wiHbufCY6gqfRmj49Qn_qNgOJD62Wik/edit,1/19/2021
"Statens Serum Institute, Denmark",Vaccine,DNA-based,Pre-clinical,Phase I is expected to start in late 2020 or early 2021,DNA; (CoVAXIX) plasmid vaccine,,Folketing's Finance Committee,,,N/A,https://docs.google.com/document/d/1Y4nCJJ4njzD1wiHbufCY6gqfRmj49Qn_qNgOJD62Wik/edit,11/16/2020
Takis/ Applied DNA Sciences/ Evvivax,Vaccine,DNA-based,Pre-clinical,Pre-clinical results released in May and July 2020; Phase I expected to begin fall 2020,DNA,,Unknown,,,N/A,https://docs.google.com/document/d/1Y4nCJJ4njzD1wiHbufCY6gqfRmj49Qn_qNgOJD62Wik/edit,9/23/2020
University of Cambridge/ DIOSynVax/ PharmaJet,Vaccine,DNA-based,Pre-clinical,Phase I expected to begin late fall 2020 or early 2021,DNA; (DIOS-CoVax2) synthetic gene inserts compatible with multiple delivery systems ,,Innovate UK,,,N/A,https://docs.google.com/document/d/1Y4nCJJ4njzD1wiHbufCY6gqfRmj49Qn_qNgOJD62Wik/edit,10/28/2020
Beijing Institute of Biological Products/ Sinopharm ,Vaccine,Inactivated virus,Phase III,"Pakistan granted ""emergency use authorization"" on 1/18/2021; China ""granted conditional market approval"" on 12/31/2020; Midterm clinical results released on 12/30/2020; Bahrain National Health Regulatory Authority (NHRA) ""approved"" on 12/13/2020; UAE Ministry of Health and Prevention (MOHAP) announced ""official registration"" on 12/9/2020, following review of Phase III interim analysis; Phase I/II results published October 2020; Phase III trial began July 2020; Received early approval for ""emergency use"" in China (Aug 2020) and the UAE (Sep 2020)","Inactivated, (BBIBP-CorV)","ChiCTR2000032459, ChiCTR2000034780, NCT04560881",Unknown,"The Lancet (https://www.thelancet.com/journals/laninf/article/PIIS1473-3099(20)30831-8/fulltext), National Medical Products Administration (http://english.nmpa.gov.cn/2020-12/30/c_578717.htm)",,N/A,https://docs.google.com/document/d/1Y4nCJJ4njzD1wiHbufCY6gqfRmj49Qn_qNgOJD62Wik/edit,1/18/2021
Bharat Biotech/ Indian Council of Medical Research/ National Institute of Virology,Vaccine,Inactivated virus,Phase III,"India granted ""permission for emergency use"" on 01/03/2021; Phase I and II safety and immunogenicity data released December 2020 and published January 2021; Phase III began November 2020; Phase I/II study: Phase I began July 2020 and Phase II began September 2020, initial results expected September 2020; Animal study results released September 2020",Inactivated; whole-virion (COVAXIN) (BBV152),"CTRI/2020/07/026300, NCT04471519, CTRI/2020/09/027674, CTRI/2020/11/028976, NCT04641481",Unknown,"medRxiv (https://www.medrxiv.org/content/10.1101/2020.12.11.20210419v1), medRxiv (https://www.medrxiv.org/content/10.1101/2020.12.21.20248643v1), The Lancet (https://www.thelancet.com/journals/laninf/article/PIIS1473-3099(20)30942-7/fulltext)",,N/A,https://docs.google.com/document/d/1Y4nCJJ4njzD1wiHbufCY6gqfRmj49Qn_qNgOJD62Wik/edit,1/25/2021
"Research Institute for Biological Safety Problems, Republic of Kazakhstan",Vaccine,Inactivated virus,Phase III,"Kazakhstan granted ""temporary registration for nine months"" as of 1/13/2021; Phase III began December 2020; Phase I/II began September 2020","Inactivated, (QazCovid-in®)","NCT04530357, NCT04691908",Unknown,,,N/A,https://docs.google.com/document/d/1Y4nCJJ4njzD1wiHbufCY6gqfRmj49Qn_qNgOJD62Wik/edit,1/18/2021
Sinovac/ Instituto Butantan/ Bio Farma,Vaccine,Inactivated virus,Phase III,"Brazil granted ""temporary authorization for emergency use"" on 1/17/2021; Indonesia granted ""emergency use approval"" on 01/11/2021; Phase III efficacy results (Brazil) released early January 2021; Phase I/II complete analysis results published 11/17/2020; Phase III trial resumed in Brazil on 11/11/2020, Phase III trial suspended in Brazil on 11/09/2020; Received approval for Phase I/II trial in adolescents and children in September 2020; Phase III trial began end of July 2020; Phase II began June 2020, mid-phase II results released August 2020; Preliminary results from Phase I/II trials released June and September 2020 (aged 60+) 2020; Received early approval for ""emergency use"" in China (Aug 2020)",Inactivated (inactivated + alum); CoronaVac (formerly PiCoVacc),"NCT04383574, NCT04352608, NCT04456595,  NCT04551547, NCT04508075, NCT04582344, NCT04617483, NCT04651790, 669/UN6.KEP/EC/2020",Unknown,"Sinovac (http://www.sinovac.com/?optionid=754&auto_id=904), medRxiv (https://www.medrxiv.org/content/10.1101/2020.07.31.20161216v1), http://www.sinovac.com/?optionid=754&auto_id=910, The Lancet (https://www.thelancet.com/journals/laninf/article/PIIS1473-3099(20)30843-4/fulltext)",Same platform as vaccine candidates for SARS,N/A,https://docs.google.com/document/d/1Y4nCJJ4njzD1wiHbufCY6gqfRmj49Qn_qNgOJD62Wik/edit,1/18/2021
Wuhan Institute of Biological Products/ Sinopharm,Vaccine,Inactivated virus,Phase III,"Phase III trial began July 2020; Phase I/II early trial results released June 2020, Phase I/II interim analysis published August 2020; Received early approval for ""emergency use"" in China (Aug 2020) and the UAE (Sep 2020)",Inactivated," ChiCTR2000031809, ChiCTR2000034780, ChiCTR2000039000, NCT04612972 ",Unknown,"CNBG (https://www.cnbg.com.cn/content/details_12_5545.html), JAMA (https://jamanetwork.com/journals/jama/fullarticle/2769612)",,N/A,https://docs.google.com/document/d/1Y4nCJJ4njzD1wiHbufCY6gqfRmj49Qn_qNgOJD62Wik/edit,12/8/2020
"Institute of Medical Biology, Chinese Academy of Medical Sciences",Vaccine,Inactivated virus,Phase II,"Phase III expected to begin January 2021; Phase II began June 2020; Phase I began May 2020, results released October 2020",Inactivated,"NCT04412538, NCT04470609, NCT04659239",Unknown,medRxiv (https://www.medrxiv.org/content/10.1101/2020.09.27.20189548v1),,N/A,https://docs.google.com/document/d/1Y4nCJJ4njzD1wiHbufCY6gqfRmj49Qn_qNgOJD62Wik/edit,1/18/2021
"Shenzhen Kangtai Biological Products Co.,Ltd./ Beijing Minhai Biotechnology Co., Ltd.",Vaccine,Inactivated virus,Phase I/II,Phase I/II study began October 2020,Inactivated SARS-CoV-2 vaccine (Vero cell),"ChiCTR2000038804, ChiCTR2000039462 ",Unknown,,,N/A,https://docs.google.com/document/d/1Y4nCJJ4njzD1wiHbufCY6gqfRmj49Qn_qNgOJD62Wik/edit,12/30/2020
Erciyes University,Vaccine,Inactivated virus,Phase I,"Phase II expected to begin by end of December 2020; Phase I began November 2020, completed on December 14, 2020 ",Inactivated; (ERUCOV-VAC),NCT04691947,Unknown,,,N/A,https://docs.google.com/document/d/1Y4nCJJ4njzD1wiHbufCY6gqfRmj49Qn_qNgOJD62Wik/edit,1/5/2021
"Government
  Pharmaceutical Organization (GPO; Thailand) / Dynavax / PATH",Vaccine,Inactivated virus,Pre-clinical,Unknown,"Egg-based, inactivated, whole chimeric Newcastle Disease Virus (NDV) expressing membrane-anchored pre-fusion-stabilized trimeric SARS-CoV-2 S protein (Hexapro) + CpG 1018",,Unknown,,,N/A,https://docs.google.com/document/d/1Y4nCJJ4njzD1wiHbufCY6gqfRmj49Qn_qNgOJD62Wik/edit,11/9/2020
"Institute
  Butantan (Brazil) / Dynavax / PATH",Vaccine,Inactivated virus,Pre-clinical,Unknown,"Egg-based, inactivated, whole chimeric Newcastle Disease Virus (NDV) expressing membrane-anchored pre-fusion-stabilized trimeric SARS-CoV-2 S protein (Hexapro) + CpG 1018",,Unknown,,,N/A,https://docs.google.com/document/d/1Y4nCJJ4njzD1wiHbufCY6gqfRmj49Qn_qNgOJD62Wik/edit,11/9/2020
Institute of Vaccines and Medical Biologicals (IVAC; Vietnam) / Dynavax / PATH,Vaccine,Inactivated virus,Pre-clinical,Unknown,"Egg-based, inactivated, whole chimeric Newcastle Disease Virus (NDV) expressing membrane-anchored pre-fusion-stabilized trimeric SARS-CoV-2 S protein (Hexapro) + CpG 1018",,Unknown,,,N/A,https://docs.google.com/document/d/1Y4nCJJ4njzD1wiHbufCY6gqfRmj49Qn_qNgOJD62Wik/edit,11/9/2020
KM Biologics,Vaccine,Inactivated virus,Pre-clinical,Unknown,Inactivated (inactivated + alum),,Unknown,,"Same platform as vaccine candidates for JE, Zika",N/A,https://docs.google.com/document/d/1Y4nCJJ4njzD1wiHbufCY6gqfRmj49Qn_qNgOJD62Wik/edit,7/9/2020
Kocak Farma Ilac ve Kimya San. A.S.,Vaccine,Inactivated virus,Pre-clinical,Unknown,Inactivated,,Unknown,,,N/A,https://docs.google.com/document/d/1Y4nCJJ4njzD1wiHbufCY6gqfRmj49Qn_qNgOJD62Wik/edit,11/9/2020
"National Research Centre, Egypt",Vaccine,Inactivated virus,Pre-clinical,Unknown,Inactivated whole virus,,Unknown,,,N/A,https://docs.google.com/document/d/1Y4nCJJ4njzD1wiHbufCY6gqfRmj49Qn_qNgOJD62Wik/edit,6/30/2020
Osaka University / BIKEN / NIBIOHN,Vaccine,Inactivated virus,Pre-clinical,Unknown,Inactivated,,Unknown,,,N/A,https://docs.google.com/document/d/1Y4nCJJ4njzD1wiHbufCY6gqfRmj49Qn_qNgOJD62Wik/edit,Prior to 4/20/2020
Selcuk University,Vaccine,Inactivated virus,Pre-clinical,Unknown,Inactivated,,Unknown,,,N/A,https://docs.google.com/document/d/1Y4nCJJ4njzD1wiHbufCY6gqfRmj49Qn_qNgOJD62Wik/edit,9/23/2020
Sinovac/ Dynavax,Vaccine,Inactivated virus,Pre-clinical,Unknown,Inactivated + adjuvant (CpG 1018),,Unknown,,,N/A,https://docs.google.com/document/d/1Y4nCJJ4njzD1wiHbufCY6gqfRmj49Qn_qNgOJD62Wik/edit,4/28/2020
"Valneva/ Dynavax/ National Institute for Health Research, United Kingdom",Vaccine,Inactivated virus,Pre-clinical,Phase I/II recruitment began December 2020,"Inactivated (Inactivated + CpG 1018), VLA2001",NCT04671017,Unknown,,Same platform as vaccine candidates for Japanese Encephalitis,N/A,https://docs.google.com/document/d/1Y4nCJJ4njzD1wiHbufCY6gqfRmj49Qn_qNgOJD62Wik/edit,1/5/2021
Codagenix / Serum Institute of India,Vaccine,Live attenuated virus,Phase I,"Phase I trial dosed January 2021, initial data expected by mid-2021; Phase I recruitment began December 2020",Codon deoptimized live attenuated virus; (COVI-VAC),NCT04619628,Unknown,,"Same platform as vaccine candidates for HAV, InfA, ZIKV, FMD, SIV, RSV, DENV ",N/A,https://docs.google.com/document/d/1Y4nCJJ4njzD1wiHbufCY6gqfRmj49Qn_qNgOJD62Wik/edit,1/20/2021
Indian Immunologicals Ltd/ Griffith University,Vaccine,Live attenuated virus,Pre-clinical,Unknown,Codon deoptimized live attenuated virus,,Unknown,,,N/A,https://docs.google.com/document/d/1Y4nCJJ4njzD1wiHbufCY6gqfRmj49Qn_qNgOJD62Wik/edit,4/28/2020
Mehmet Ali Aydinlar University/ Acıbadem Labmed Health Services A.S.,Vaccine,Live attenuated virus,Pre-clinical,Unknown,Codon deoptimized live attenuated vaccines,,Unknown,,,N/A,https://docs.google.com/document/d/1Y4nCJJ4njzD1wiHbufCY6gqfRmj49Qn_qNgOJD62Wik/edit,7/9/2020
Meissa Vaccines ,Vaccine,Live attenuated virus,Pre-clinical,Start Phase 1 beginning of 2021,MV-014-210,,Unknown,,Same platform as vaccine candidates for RSV,N/A,https://docs.google.com/document/d/1Y4nCJJ4njzD1wiHbufCY6gqfRmj49Qn_qNgOJD62Wik/edit,7/2/2020
"University of Oxford, Oxford Biomedica, Vaccines Manufacturing and Innovation Centre, Pall Life Sciences, Cobra Biologics, HalixBV, Advent s.r.l., Merck KGaA, the Serum Institute, Vaccitech, Catalent, CSL, and AstraZeneca/IQVIA",Vaccine,Non-replicating viral vector,Authorized,"Brazil granted ""temporary authorization for emergency use"" on 1/17/2021; Pakistan granted ""emergency use authorization"" on 1/15/2021; India granted ""emergency use authorisation"" as well as Dominican Republic, El Salvador, Mexico and Morocco as of 1/6/2021; Argentina authorized under ""emergency registration"" on 12/30/2020;  U.K. ""authorised for emergency supply"" on 12/30/2020; Phase I/II data (w/ booster dose) published on 12/17/2020; Phase III trials interim analysis results published 12/8/2020; Phase II/III (COV002) and Phase III (COV003) trial pooled interim analysis results released on 11/23/2020; Phase II/III trial interim results released Nov 2020; Study protocol for late-stage clinical trials released September 2020; AstraZeneca clinical trials resumed globally (in the UK on 9/14/2020, Brazil and South Africa on 9/15/2020, Japan on 10/2/2020, and the US on 10/23/2020); AstraZeneca voluntarily paused vaccination to allow independent review of safety data on 9/8/2020; Phase III trial began Jun 2020 and expanded into US in Aug 2020; Phase II/III began May 2020; Phase I/II trial interim results released Jul 2020; Selected for US Operation Warp Speed in May 2020",Non-replicating viral vector; AZD 1222 (formerly ChAdOx1),""" CTRI/2020/08/027170, EudraCT 2020-001072-15, EudraCT 2020-001228-32, ISRCTN89951424, NCT04324606, NCT04400838, NCT04444674, NCT04516746, NCT04540393, NCT04568031, NCT04686773, PACTR202005681895696, PACTR202006922165132""","Coalition for Epidemic Preparedness Innovations (CEPI)/ UK Government/ Biomedical Advanced Research and Development Authority (BARDA)/ Gavi, the Vaccine Alliance","The Lancet (https://www.thelancet.com/journals/lancet/article/PIIS0140-6736(20)31604-4/fulltext), The Lancet (https://www.thelancet.com/journals/lancet/article/PIIS0140-6736(20)32466-1/fulltext), AstraZeneca (https://sputnikvaccine.com/newsroom/pressreleases/second-interim-analysis-of-clinical-trial-data-showed-a-91-4-efficacy-for-the-sputnik-v-vaccine-on-d/), The Lancet (https://www.thelancet.com/journals/lancet/article/PIIS0140-6736(20)32661-1/fulltext), Nature Medicine (https://www.nature.com/articles/s41591-020-01179-4), Nature Medicine (https://www.nature.com/articles/s41591-020-01194-5)","Same platform as vaccine candidates for influenza, TB, Chikungunya, Zika, MenB, plague",N/A,https://docs.google.com/document/d/1Y4nCJJ4njzD1wiHbufCY6gqfRmj49Qn_qNgOJD62Wik/edit,1/19/2021
CanSino Biologics/ Beijing Institute of Biotechnology/ Petrovax ,Vaccine,Non-replicating viral vector,Phase III,"Phase III dosed September 2020; Phase II began April 2020, initial results released May 2020, mid-phase results released July 2020; China’s Central Military Commission ""approved the use of the vaccine by the military"" in June 2020",Non-replicating viral vector; Adenovirus Type 5 vector (Ad5-nCoV),"ChiCTR2000030906, ChiCTR2000031781, NCT04313127, NCT04341389, NCT04398147, NCT04526990, NCT04540419, NCT04566770, NCT04568811",Unknown,"The Lancet (https://www.thelancet.com/journals/lancet/article/PIIS0140-6736(20)31208-3/fulltext), The Lancet (https://www.thelancet.com/journals/lancet/article/PIIS0140-6736(20)31605-6/fulltext)",Same platform as vaccine candidates for EBOV  ,N/A,https://docs.google.com/document/d/1Y4nCJJ4njzD1wiHbufCY6gqfRmj49Qn_qNgOJD62Wik/edit,1/14/2021
Gamaleya Research Institute,Vaccine,Non-replicating viral vector,Phase III,"Authorized for ""emergency use"" in Algeria, Argentina, Bolivia, Hungary, Palestine, Paraguay, Serbia, Turkmenistan, UAE, and Venezuela as of January 2021; ""Registered"" in Belarus in December 2020; Phase III final control point data analysis results released December 2020, interim data analysis results released November 2020; Phase III (post-registration) trial began September 2020; Phase I/2 began June 2020, results published September 2020; Russian Ministry of Health ""registered"" vaccine in August 2020, Mass production expected to begin September 2020",Adeno-based; (Gam-COVID-Vac) (Sputnik V),"NCT04436471, NCT04437875, NCT04530396, NCT04564716, NCT04587219, NCT04640233, NCT04642339, NCT04656613",Russian Direct Investment Fund (RDIF),"The Lancet (https://www.thelancet.com/journals/lancet/article/PIIS0140-6736(20)31866-3/fulltext), Gamaleya Center and RDIF (https://sputnikvaccine.com/newsroom/pressreleases/the-first-interim-data-analysis-of-the-sputnik-v-vaccine-against-covid-19-phase-iii-clinical-trials-/), Gamaleya Center and RDIF (https://sputnikvaccine.com/newsroom/pressreleases/second-interim-analysis-of-clinical-trial-data-showed-a-91-4-efficacy-for-the-sputnik-v-vaccine-on-d/)",,N/A,https://docs.google.com/document/d/1Y4nCJJ4njzD1wiHbufCY6gqfRmj49Qn_qNgOJD62Wik/edit,1/25/2021
Janssen Pharmaceutical Companies/ Beth Israel Deaconess Medical Center/ Emergent BioSolutions/ Catalent/ Biological E/ Grand River Aseptic Manufacturing (GRAM),Vaccine,Non-replicating viral vector,Phase III,"Phase I/IIa interim results published 1/13/2021; Phase III trial to study the safety and efficacy of a two-dose regimen began 11/15/2020 (ENSEMBLE 2); Phase III trial (ENSEMBLE) resumed recruitment on 10/23/2020, fully enrolled with ~45,000 participants as of 12/17/2020, interim data expected by the end of January 2021; Janssen Pharmaceutical Companies of Johnson & Johnson voluntarily paused dosing to allow independent review of safety data on 10/12/2020; Phase III trial (ENSEMBLE) began and study protocol released September 2020; Phase I/IIa began end of July 2020, interim results released September 2020; Animal study results published July and September 2020; Selected for US Operation Warp Speed in February 2020 and awarded funding in August 2020","Ad26.COV2-S, Non replicating viral vector; Ad26 (alone or with MVA boost)","NCT04436276, NCT04505722, NCT04509947, NCT04535453, ISRCTN14722499",Biomedical Advanced Research and Development Authority (BARDA),"medRxiv (https://www.medrxiv.org/content/10.1101/2020.09.23.20199604v1), NEJM (https://www.nejm.org/doi/full/10.1056/NEJMoa2034201)","Same platform as vaccine candidates for Ebola, HIV, RSV",N/A,https://docs.google.com/document/d/1Y4nCJJ4njzD1wiHbufCY6gqfRmj49Qn_qNgOJD62Wik/edit,1/14/2021
German Center for Infection Research (DZIF)/ IDT Biologika GmbH/ Universitätsklinikum Hamburg-Eppendorf/ Philipps University Marburg Medical Center/ Ludwig-Maximilians University of Munich,Vaccine,Non-replicating viral vector,Phase I,"Clinical testing suspended January 2021, Phase II postponed until further notice; Phase I dosed October 2020",Non-replicating viral vector; MVA-S encoded,NCT04569383,Unknown,,Same platform as vaccine candidates for many pathogens,N/A,https://docs.google.com/document/d/1Y4nCJJ4njzD1wiHbufCY6gqfRmj49Qn_qNgOJD62Wik/edit,1/14/2021
ImmunityBio/ NantKwest,Vaccine,Non-replicating viral vector,Phase I,"Phase I trial expected to begin in South Africa in February 2021; Phase I interim data announced November 2020; Pre-clinical data released December, November, and July 2020; Phase I trial dosed in the U.S. in October 2020; Selected for US Operation Warp Speed in May 2020","Non-replicating viral vector; [E1-, E2b-, E3-] hAd5-COVID19-Spike/Nucleocapsid","NCT04591717, NCT04710303",Unknown,,"Same platform as vaccine candidates for flu, Chik, Zika, EBOV, LASV, HIV/SIV, cancer",N/A,https://docs.google.com/document/d/1Y4nCJJ4njzD1wiHbufCY6gqfRmj49Qn_qNgOJD62Wik/edit,1/20/2021
ReiThera/ Leukocare/ Univercells/ National Institute of Infectious diseases Lazzaro Spallanzani,Vaccine,Non-replicating viral vector,Phase I,"Phase I advanced to second set of three cohorts (aged 65-85 years) in November 2020; Phase I began August 2020, completed the first set of three cohorts (aged 18-55 years), preliminary results announced November 2020; Phase II/III trial expected to begin in the coming months",Non-replicating viral vector; replication defective simian adenovirus encoding SARS-CoV-2 S (GRAd-CoV2),"EudraCT 2020-002835-31, NCT04528641",Unknown,,,N/A,https://docs.google.com/document/d/1Y4nCJJ4njzD1wiHbufCY6gqfRmj49Qn_qNgOJD62Wik/edit,12/30/2020
Vaxart/ Emergent BioSolutions,Vaccine,Non-replicating viral vector,Phase I,"Phase I dosed October 2020; FDA clearance for Phase I trial received September 2020, recruiment expected to begin September 2020; Pre-clinical results released September 2020; Data from ongoing animal challenge study released October and November 2020","Non-replicating viral vector; Oral Vaccine
 platform",NCT04563702,Unknown,,"Same platform as vaccine candidates for InfA, CHIKV, LASV, NORV, EBOV, RVF, HBV, VEE",N/A,https://docs.google.com/document/d/1Y4nCJJ4njzD1wiHbufCY6gqfRmj49Qn_qNgOJD62Wik/edit,12/30/2020
Altimmune / University of Alabama at Birmingham,Vaccine,Non-replicating viral vector,Pre-clinical,FDA issued clinical hold for planned Phase I trial on 12/22/2020;Pre-clinical data released October 2020,"AdCOVID; single-dose, intranasal vaccine; non replicating viral vector; adenovirus-based NasoVAX expressing spike protein",NCT04679909,Unknown,,Same platform as vaccine candidates for influenza,N/A,https://docs.google.com/document/d/1Y4nCJJ4njzD1wiHbufCY6gqfRmj49Qn_qNgOJD62Wik/edit,1/5/2021
